도로명,시작점 위도,시작점 경도,중간점_위도,중간점_경도,끝점_위도,끝점_경도,경사도_점수(1-10점)
군자로,37.5480112,127.0704657,37.5480867,127.0704909,37.5480867,127.0704909,1
군자로,37.5480112,127.0704657,37.5479225,127.0704482,37.5474811,127.0703611,1
광나루로,37.5480112,127.0704657,37.5477814,127.0719778,37.5476959,127.0723769,1
군자로,37.5542858,127.0750215,37.5543308,127.0751233,37.5543308,127.0751233,1
면목로,37.5542858,127.0750215,37.5543811,127.0750559,37.5543811,127.0750559,1
군자로,37.5542858,127.0750215,37.5542284,127.0749135,37.5541514,127.0747718,1
긴고랑로46길,37.5601059,127.0948625,37.5601082,127.0952408,37.5601082,127.0952408,1
긴고랑로44길,37.5601059,127.0948625,37.5591433,127.0949558,37.5591433,127.0949558,1
긴고랑로,37.5601059,127.0948625,37.5597814,127.0945845,37.5597814,127.0945845,3
긴고랑로,37.5601059,127.0948625,37.5610455,127.0958009,37.5620939,127.0960892,1
긴고랑로45길,37.5601059,127.0948625,37.5610561,127.0953919,37.5610787,127.0955515,1
면목로,37.56316,127.07976,37.5637864,127.0800965,37.5637864,127.0800965,1
면목로,37.56316,127.07976,37.5626805,127.0794987,37.5626805,127.0794987,1
긴고랑로,37.56316,127.07976,37.5634038,127.0790976,37.5634038,127.0790976,1
긴고랑로,37.56316,127.07976,37.5629354,127.080427,37.5629354,127.080427,1
능동로,37.5692556,127.0861341,37.5687939,127.0858809,37.5687939,127.0858809,1
용마산로,37.5692556,127.0861341,37.5693301,127.0861351,37.5693301,127.0861351,10
용마산로,37.5692556,127.0861341,37.5687628,127.0860575,37.5683984,127.0861049,1
긴고랑로,37.5622984,127.0823188,37.5619565,127.0829482,37.5619565,127.0829482,1
긴고랑로,37.5622984,127.0823188,37.5625249,127.0816462,37.5625249,127.0816462,1
능동로,37.5622984,127.0823188,37.5628886,127.0826404,37.5628886,127.0826404,1
능동로,37.5622984,127.0823188,37.5615258,127.0818962,37.560986,127.081601,1
자양로15길,37.536232,127.0836367,37.5361651,127.0835573,37.5359673,127.0831829,1
자양로,37.536232,127.0836367,37.5361683,127.0836555,37.535948,127.0837207,1
자양로,37.5413994,127.0837515,37.5411813,127.0836592,37.5411813,127.0836592,1
자양로,37.5413994,127.0837515,37.5414536,127.0837746,37.5414536,127.0837746,1
,37.5413994,127.0837515,37.541668,127.0830511,37.541865,127.0827437,1
자양로,37.5425244,127.0842191,37.5421022,127.0840533,37.5421022,127.0840533,1
자양로28길,37.5425244,127.0842191,37.542491,127.0843378,37.5423055,127.0850319,1
자양로,37.5425244,127.0842191,37.5427423,127.0843139,37.5430452,127.0844509,1
자양로,37.54359,127.08468,37.5434714,127.0846301,37.5434714,127.0846301,1
,37.54359,127.08468,37.5442893,127.0849783,37.5442893,127.0849783,1
자양로,37.54359,127.08468,37.5436153,127.0845598,37.5437685,127.0838934,1
자양로,37.5444287,127.0850361,37.5442893,127.0849783,37.5442893,127.0849783,1
자양로,37.5444287,127.0850361,37.544553,127.0850798,37.544553,127.0850798,10
자양로32길,37.5444287,127.0850361,37.5444083,127.0851662,37.54428,127.0867504,1
자양로,37.546813,127.0871807,37.5465803,127.0869209,37.5465803,127.0869209,1
자양로,37.546813,127.0871807,37.5475093,127.0879981,37.547563,127.0880614,1
자양로35길,37.546813,127.0871807,37.5468701,127.087095,37.5471237,127.0867403,1
자양로39길,37.5485615,127.0891638,37.5486296,127.0890741,37.5489365,127.0886515,1
자양로40길,37.5485615,127.0891638,37.5484815,127.0892728,37.5481493,127.0897315,1
자양로,37.5485615,127.0891638,37.5490791,127.089777,37.5495481,127.0902943,1
자양로,37.5485615,127.0891638,37.5479661,127.0885214,37.547563,127.0880614,1
자양로41길,37.5495481,127.0902943,37.5496178,127.0901911,37.5500668,127.0895613,1
자양로42길,37.5495481,127.0902943,37.5494713,127.0903786,37.5491494,127.0908483,1
자양로,37.5495481,127.0902943,37.5488881,127.0895664,37.5485615,127.0891638,1
자양로,37.5495481,127.0902943,37.5499081,127.0906948,37.5500176,127.0908197,1
자양로,37.5500176,127.0908197,37.550186,127.0909511,37.550186,127.0909511,1
천호대로,37.5500176,127.0908197,37.5496131,127.0913505,37.5492881,127.0919276,1
자양로,37.5500176,127.0908197,37.5499081,127.0906948,37.5495481,127.0902943,1
천호대로132길,37.5506271,127.0902166,37.5505657,127.0901448,37.5500668,127.0895613,1
천호대로,37.5506271,127.0902166,37.5502518,127.0905246,37.5500176,127.0908197,1
천호대로,37.5533477,127.0887981,37.553393,127.0887556,37.553393,127.0887556,1
천호대로127길,37.5533477,127.0887981,37.5534137,127.0889358,37.5536919,127.0898116,1
천호대로122길,37.5536011,127.0882185,37.55348,127.0881393,37.553069,127.0878705,1
천호대로,37.5536011,127.0882185,37.5535416,127.088319,37.5534728,127.0884141,1
천호대로,37.5556426,127.0830546,37.5551387,127.0843509,37.5551387,127.0843509,1
천호대로114길,37.5556426,127.0830546,37.5555633,127.0830062,37.5550773,127.0827101,1
천호대로,37.557395,127.0786804,37.5570888,127.0794562,37.5570888,127.0794562,1
군자로,37.557395,127.0786804,37.5573055,127.07862,37.5568273,127.0782204,1
면목로,37.5580747,127.0769544,37.5582076,127.0770318,37.5582076,127.0770318,1
천호대로,37.5580747,127.0769544,37.5580132,127.0771187,37.557395,127.0786804,1
면목로,37.5580747,127.0769544,37.5579482,127.0768805,37.5576172,127.076699,1
동일로,37.563293,127.0760044,37.5637286,127.076252,37.5637286,127.076252,1
동일로,37.563293,127.0760044,37.5632661,127.0760945,37.5630542,127.076684,1
동일로,37.5673628,127.0782525,37.5679131,127.0785682,37.5679131,127.0785682,1
동일로74길,37.5673628,127.0782525,37.567316,127.0783846,37.5671028,127.0789829,1
동일로,37.5673628,127.0782525,37.5661328,127.0774882,37.5642375,127.0763978,1
아차산로,37.5493016,127.1079949,37.54828,127.10728,37.5482083,127.1072098,1
아차산로,37.5493016,127.1079949,37.5493578,127.1081292,37.5503666,127.1087805,1
아차산로,37.5461477,127.105331,37.5467434,127.1058268,37.5467434,127.1058268,1
아차산로,37.5461477,127.105331,37.5457441,127.1049887,37.5457441,127.1049887,1
,37.5461477,127.105331,37.5466618,127.1061289,37.54663,127.10675,1
동일로,37.5455937,127.0659888,37.5456852,127.0660422,37.5456852,127.0660422,1
동일로26길,37.5455937,127.0659888,37.545567,127.0660686,37.5453519,127.0667118,1
동일로,37.547704,127.0671768,37.5477488,127.0672018,37.5477488,127.0672018,1
동일로30길,37.547704,127.0671768,37.5476803,127.0672799,37.5476284,127.067994,1
동일로,37.549618,127.0682889,37.5501372,127.0685767,37.5502401,127.0686337,1
동일로32길,37.549618,127.0682889,37.5495818,127.0683853,37.5494469,127.0687685,1
동일로,37.553056,127.0702078,37.5531665,127.0702709,37.5534064,127.0704079,1
동일로42길,37.553056,127.0702078,37.5529043,127.0704801,37.5520835,127.07093,1
강변북로,37.5420651,127.1050696,37.5400033,127.1024983,37.538201,127.1001839,1
자양번영로4길,37.5316065,127.0752045,37.5314716,127.0759258,37.5314716,127.0759258,1
자양번영로3길,37.5316065,127.0752045,37.5317376,127.0744774,37.5317376,127.0744774,1
자양번영로,37.5316065,127.0752045,37.532309,127.0754276,37.532309,127.0754276,1
자양번영로,37.5316065,127.0752045,37.531107,127.0750607,37.531107,127.0750607,1
자양번영로,37.532597,127.0755173,37.5331998,127.0756803,37.5331998,127.0756803,1
자양번영로,37.532597,127.0755173,37.532309,127.0754276,37.532309,127.0754276,1
뚝섬로,37.53431,127.09109,37.5340117,127.0900966,37.5340117,127.0900966,1
뚝섬로67길,37.53431,127.09109,37.5351906,127.0907255,37.5351906,127.0907255,1
뚝섬로,37.53431,127.09109,37.53445,127.09159,37.5344847,127.0917181,1
뚝섬로,37.5344847,127.0917181,37.53445,127.09159,37.53431,127.09109,1
구의강변로,37.5344847,127.0917181,37.5343676,127.0916973,37.5338736,127.0916212,1
뚝섬로,37.5344847,127.0917181,37.5344291,127.0925043,37.53441,127.09268,1
구의강변로,37.5344847,127.0917181,37.53522,127.09195,37.53552,127.09211,1
구의강변로3길,37.53552,127.09211,37.535693,127.0916754,37.535693,127.0916754,1
구의강변로,37.53552,127.09211,37.5367676,127.0928615,37.5367676,127.0928615,1
구의강변로,37.53552,127.09211,37.53491,127.09182,37.5344847,127.0917181,1
구의강변로,37.537641,127.0934284,37.5375657,127.093384,37.5375657,127.093384,1
구의강변로5길,37.537641,127.0934284,37.5377413,127.0933286,37.5384199,127.0926533,1
구의강변로,37.537641,127.0934284,37.5377201,127.0934744,37.5379226,127.0935921,1
구의강변로,37.5380704,127.0936773,37.5379226,127.0935921,37.5379226,127.0935921,1
광나루로54길,37.5380704,127.0936773,37.5380256,127.0937932,37.5376689,127.0947171,1
구의강변로,37.5380704,127.0936773,37.5384602,127.09384,37.5389714,127.0939848,1
구의강변로,37.5389714,127.0939848,37.5392579,127.0940609,37.5392579,127.0940609,1
아차산로62길,37.5389714,127.0939848,37.5389872,127.0938848,37.5390227,127.09366,1
구의강변로,37.5389714,127.0939848,37.5384602,127.09384,37.5380704,127.0936773,1
긴고랑로42길,37.558874,127.0930525,37.5586685,127.0930614,37.5586685,127.0930614,1
긴고랑로,37.558874,127.0930525,37.5587676,127.0925978,37.5587676,127.0925978,3
긴고랑로,37.558874,127.0930525,37.5589905,127.0938579,37.5591508,127.0940708,1
긴고랑로41길,37.5587676,127.0925978,37.5591859,127.0926917,37.5591859,127.0926917,2
긴고랑로,37.5587676,127.0925978,37.558874,127.0930525,37.558874,127.0930525,3
긴고랑로,37.5587676,127.0925978,37.5586318,127.0920396,37.5586107,127.0916167,1
영화사로3길,37.5586107,127.0916167,37.5582083,127.0915819,37.5582083,127.0915819,1
긴고랑로,37.5586107,127.0916167,37.5593524,127.0917397,37.5593524,127.0917397,1
긴고랑로,37.5586107,127.0916167,37.5588053,127.0907337,37.5588053,127.0907337,1
긴고랑로,37.5586107,127.0916167,37.5586318,127.0920396,37.5587676,127.0925978,1
긴고랑로39길,37.5588053,127.0907337,37.5594308,127.0910574,37.5594308,127.0910574,1
긴고랑로,37.5588053,127.0907337,37.5586107,127.0916167,37.5586107,127.0916167,1
긴고랑로,37.5588053,127.0907337,37.5589086,127.0903614,37.55897,127.09005,1
긴고랑로37길,37.55897,127.09005,37.5595356,127.09013,37.5595356,127.09013,1
긴고랑로38길,37.55897,127.09005,37.558642,127.0900477,37.558642,127.0900477,1
긴고랑로,37.55897,127.09005,37.55897,127.08958,37.5588036,127.0887816,1
긴고랑로,37.55897,127.09005,37.5589086,127.0903614,37.5588053,127.0907337,1
긴고랑로36길,37.5588036,127.0887816,37.5582277,127.0895702,37.5582277,127.0895702,1
긴고랑로,37.5588036,127.0887816,37.55885,127.08853,37.55885,127.08853,1
긴고랑로,37.5588036,127.0887816,37.55897,127.08958,37.55897,127.09005,1
긴고랑로35길,37.55885,127.08853,37.5596589,127.0883733,37.5596589,127.0883733,1
긴고랑로,37.55885,127.08853,37.5588036,127.0887816,37.5588036,127.0887816,1
긴고랑로,37.55885,127.08853,37.55891,127.08828,37.5590664,127.0880258,1
긴고랑로,37.5641996,127.0765167,37.5642375,127.0763978,37.5642375,127.0763978,1
긴고랑로,37.5641996,127.0765167,37.5640909,127.0769423,37.5640193,127.0772271,1
동일로,37.5641996,127.0765167,37.5643806,127.0766242,37.5648935,127.0769135,1
광나루로,37.54368,127.09318,37.5435594,127.0933075,37.5435594,127.0933075,1
광나루로46길,37.54368,127.09318,37.5436413,127.0931129,37.5433442,127.0925972,1
광나루로44길,37.5443758,127.09167,37.5443073,127.0916471,37.5437397,127.0915066,1
광나루로,37.5443758,127.09167,37.5438757,127.0928524,37.54368,127.09318,1
광나루로,37.5451288,127.0838085,37.5450934,127.0840954,37.5450934,127.0840954,1
"['광나루로32길', '자양로29길']",37.5451288,127.0838085,37.5443659,127.0835116,37.5442489,127.0838038,1
,37.5463519,127.076223,37.5464088,127.0762569,37.5464088,127.0762569,1
광나루로24길,37.5463519,127.076223,37.5461815,127.0762391,37.5454463,127.0765175,1
광나루로,37.5463519,127.076223,37.5458803,127.0772621,37.5456571,127.0782751,1
광나루로,37.5466844,127.0755679,37.5463519,127.076223,37.5463519,127.076223,1
광나루로22길,37.5466844,127.0755679,37.5465457,127.0754621,37.5464595,127.0753897,1
광나루로,37.5476959,127.0723769,37.5473537,127.0737411,37.5472708,127.0740581,1
광나루로18길,37.5476959,127.0723769,37.5476255,127.0723463,37.5472225,127.0721771,1
광나루로,37.5481693,127.0688027,37.5481404,127.0690838,37.5481404,127.0690838,1
광나루로13길,37.5481693,127.0688027,37.5482642,127.0688205,37.5482642,127.0688205,1
구의강변로,37.5338736,127.0916212,37.5334244,127.0901907,37.5334244,127.0901907,1
구의강변로,37.5338736,127.0916212,37.5343676,127.0916973,37.5344847,127.0917181,1
구의강변로,37.5338736,127.0916212,37.533,127.09167,37.5326887,127.0917016,1
강변역로4길,37.53441,127.09268,37.5350108,127.0934181,37.5352672,127.0937,1
강변역로4길,37.53441,127.09268,37.5336295,127.0924349,37.5329666,127.0924783,1
뚝섬로,37.53441,127.09268,37.5344905,127.0919386,37.5344847,127.0917181,1
강변역로4길,37.5352672,127.0937,37.5347742,127.0931431,37.53441,127.09268,1
강변역로4길,37.5352672,127.0937,37.5353781,127.094138,37.5352416,127.0943559,1
광나루로56길,37.5369835,127.0957562,37.5368635,127.0956967,37.5368635,127.0956967,1
광나루로56길,37.5369835,127.0957562,37.5361822,127.0946066,37.5363223,127.0941342,1
광나루로56길,37.5369835,127.0957562,37.5381726,127.0971096,37.539172,127.0982664,1
아차산로70길,37.54214,127.10174,37.5417661,127.1021792,37.5417661,127.1021792,1
아차산로70길,37.54214,127.10174,37.5423,127.10164,37.5423,127.10164,1
아차산로70길,37.54214,127.10174,37.54017,127.0994,37.5393668,127.0984694,1
아차산로70길,37.5423,127.10164,37.54214,127.10174,37.54214,127.10174,1
아차산로70길,37.5423,127.10164,37.5427871,127.1013904,37.5429604,127.1012901,1
아차산로36길,37.5387157,127.0743583,37.538861,127.074405,37.538861,127.074405,1
아차산로36길,37.5387157,127.0743583,37.5378234,127.0741049,37.5370209,127.0738614,1
아차산로,37.5387157,127.0743583,37.5386637,127.0745752,37.5385384,127.0750969,1
아차산로,37.5371192,127.0807492,37.5370041,127.0812097,37.5370041,127.0812097,1
아차산로44길,37.5371192,127.0807492,37.5369109,127.0806713,37.5366539,127.0801941,1
아차산로,37.5370234,127.0854908,37.5369022,127.0850093,37.5369022,127.0850093,1
아차산로,37.5374595,127.0872237,37.5373068,127.0866171,37.5373068,127.0866171,1
아차산로,37.5374595,127.0872237,37.5373803,127.0870797,37.5373803,127.0870797,1
아차산로,37.5374595,127.0872237,37.5375189,127.0872084,37.5376761,127.0871678,1
아차산로,37.5384,127.09109,37.5383623,127.0909301,37.5383623,127.0909301,1
광나루로44길,37.5384,127.09109,37.5384939,127.0910555,37.539193,127.0907986,1
아차산로,37.5384,127.09109,37.5385,127.09139,37.53861,127.09158,1
아차산로,37.53861,127.09158,37.538847,127.0919729,37.538847,127.0919729,3
아차산로60길,37.53861,127.09158,37.5385335,127.091651,37.5380717,127.0920799,1
아차산로,37.53861,127.09158,37.5385,127.09139,37.5384,127.09109,1
아차산로,37.53934,127.09279,37.539527,127.0930989,37.5395727,127.0931743,1
아차산로,37.53934,127.09279,37.5390967,127.0923838,37.538847,127.0919729,1
,37.53934,127.09279,37.5394112,127.0927233,37.5397956,127.0923631,1
아차산로,37.54039,127.09457,37.5408815,127.0953825,37.5408815,127.0953825,1
아차산로,37.54039,127.09457,37.5403492,127.0945026,37.5403492,127.0945026,1
아차산로65길,37.54039,127.09457,37.540461,127.0945064,37.5408647,127.0941444,1
,37.5411322,127.0957988,37.5411964,127.095933,37.5411964,127.095933,1
아차산로,37.5411322,127.0957988,37.5410565,127.0956705,37.5408815,127.0953825,1
광나루로,37.5411322,127.0957988,37.5409355,127.0960167,37.5408544,127.0961257,1
구의로,37.5379465,127.0891318,37.537839,127.089116,37.537839,127.089116,1
구의로,37.5379465,127.0891318,37.5380116,127.0891427,37.5388146,127.0892775,1
아차산로,37.5379465,127.0891318,37.5375922,127.0877457,37.5375382,127.0875346,1
구의로4길,37.54012,127.0896,37.5399717,127.0905943,37.5399717,127.0905943,1
자양로26길,37.54012,127.0896,37.5403697,127.0888939,37.5403697,127.0888939,1
구의로,37.54012,127.0896,37.54152,127.08992,37.54152,127.08992,1
구의로,37.54012,127.0896,37.5399534,127.0895584,37.5399534,127.0895584,10
,37.54663,127.10675,37.5467978,127.1063785,37.5467978,127.1063785,1
구천면로,37.54663,127.10675,37.5467178,127.1061451,37.5467434,127.1058268,1
구천면로,37.54663,127.10675,37.5465305,127.1074619,37.5465021,127.1076601,1
군자로,37.5545005,127.0754516,37.5551337,127.0766019,37.5551337,127.0766019,1
군자로,37.5545005,127.0754516,37.5543308,127.0751233,37.5543308,127.0751233,1
군자로,37.5545005,127.0754516,37.5541276,127.0757796,37.5541276,127.0757796,1
군자로,37.5551337,127.0766019,37.5551647,127.0766473,37.5551647,127.0766473,1
군자로,37.5551337,127.0766019,37.5545005,127.0754516,37.5545005,127.0754516,1
능동로27길,37.5551337,127.0766019,37.5550649,127.0766132,37.5547954,127.0766314,1
군자로,37.5558904,127.0774511,37.5568273,127.0782204,37.5568273,127.0782204,1
능동로31길,37.5558904,127.0774511,37.5557026,127.0779098,37.5557026,127.0779098,1
능동로31길,37.5558904,127.0774511,37.5560665,127.077013,37.5560665,127.077013,1
군자로,37.5558904,127.0774511,37.5555362,127.0771029,37.5552417,127.0767446,1
군자로,37.5568273,127.0782204,37.5558904,127.0774511,37.5558904,127.0774511,1
능동로35길,37.5568273,127.0782204,37.5567059,127.0785337,37.5567059,127.0785337,1
능동로35길,37.5568273,127.0782204,37.5570836,127.0775605,37.5570836,127.0775605,1
군자로,37.5568273,127.0782204,37.5573055,127.07862,37.557395,127.0786804,1
능동로,37.5435909,127.0722839,37.5432041,127.0721084,37.5432041,127.0721084,1
,37.5448913,127.0730313,37.5449259,127.0729103,37.5449259,127.0729103,10
능동로16길,37.5448913,127.0730313,37.5448718,127.0731053,37.5449416,127.0740067,1
능동로,37.5448913,127.0730313,37.5456783,127.0733963,37.5458531,127.0734765,1
능동로,37.551961,127.0766914,37.5517901,127.0766069,37.5517901,127.0766069,1
능동로24길,37.551961,127.0766914,37.5519351,127.0767855,37.5519351,127.0767855,1
능동로32길,37.5554868,127.0784828,37.5554482,127.078579,37.5554482,127.078579,1
능동로31길,37.5554868,127.0784828,37.5555227,127.0783967,37.5557026,127.0779098,1
능동로,37.5554868,127.0784828,37.5549608,127.0782156,37.5543607,127.0778798,1
천호대로,37.5570888,127.0794562,37.5566093,127.0806118,37.5566093,127.0806118,1
능동로,37.5570888,127.0794562,37.5572285,127.0795353,37.5572285,127.0795353,1
능동로,37.5570888,127.0794562,37.5569301,127.0793004,37.5565026,127.0790563,1
뚝섬로,37.5324164,127.0853111,37.5324785,127.0854452,37.5324785,127.0854452,1
자양로,37.5324164,127.0853111,37.5322867,127.0854035,37.5318742,127.0856974,1
뚝섬로,37.5324164,127.0853111,37.5323342,127.0851255,37.53197,127.08432,1
뚝섬로59길,37.53197,127.08432,37.5329344,127.0838836,37.5329344,127.0838836,1
뚝섬로,37.53197,127.08432,37.531834,127.0839859,37.531834,127.0839859,1
뚝섬로,37.53197,127.08432,37.5323342,127.0851255,37.5324164,127.0853111,1
뚝섬로,37.53148,127.08173,37.53151,127.08145,37.53151,127.08145,1
뚝섬로,37.53148,127.08173,37.5320244,127.0818181,37.5320244,127.0818181,1
뚝섬로,37.53148,127.08173,37.5314591,127.0823872,37.5314565,127.082504,1
뚝섬로,37.53151,127.08145,37.5316148,127.0810144,37.5316148,127.0810144,1
뚝섬로,37.53151,127.08145,37.53148,127.08173,37.53148,127.08173,1
뚝섬로,37.53151,127.08145,37.5320664,127.0816087,37.5320664,127.0816087,1
뚝섬로,37.5319949,127.079697,37.53224,127.0788928,37.53224,127.0788928,1
자양로13길,37.5319949,127.079697,37.5323305,127.0798663,37.5323305,127.0798663,1
뚝섬로,37.5319949,127.079697,37.5318,127.08032,37.5316148,127.0810144,1
뚝섬로52길,37.5319949,127.079697,37.531916,127.0796575,37.5315827,127.0794906,2
뚝섬로,37.53277,127.07714,37.5329396,127.0765639,37.5329396,127.0765639,1
뚝섬로,37.53277,127.07714,37.5327141,127.0773208,37.5327141,127.0773208,1
뚝섬로46길,37.53277,127.07714,37.5322044,127.0768883,37.5322044,127.0768883,1
뚝섬로45길,37.53277,127.07714,37.5333023,127.0773916,37.5333023,127.0773916,1
뚝섬로36길,37.5343731,127.0716568,37.5336507,127.0713338,37.5336507,127.0713338,1
뚝섬로37길,37.5343731,127.0716568,37.5346441,127.0717826,37.5346441,127.0717826,1
뚝섬로,37.5343731,127.0716568,37.5347961,127.0701853,37.5347961,127.0701853,1
뚝섬로,37.5343731,127.0716568,37.5341046,127.0725776,37.5341046,127.0725776,1
뚝섬로33길,37.53504,127.06933,37.5364687,127.0700048,37.5364687,127.0700048,1
뚝섬로,37.53504,127.06933,37.5347961,127.0701853,37.5347961,127.0701853,1
뚝섬로,37.53504,127.06933,37.5352244,127.0686884,37.5352596,127.068566,1
뚝섬로31길,37.53556,127.06749,37.5357226,127.0675707,37.5357226,127.0675707,1
뚝섬로,37.53556,127.06749,37.5358208,127.0664736,37.5358208,127.0664736,1
뚝섬로,37.53556,127.06749,37.5354236,127.0679852,37.5354236,127.0679852,1
뚝섬로32길,37.53556,127.06749,37.5354735,127.0674476,37.5346978,127.067068,1
뚝섬로30길,37.53605,127.06558,37.5355412,127.0661399,37.5355412,127.0661399,1
뚝섬로,37.53605,127.06558,37.5360892,127.0654219,37.5360892,127.0654219,1
뚝섬로,37.53605,127.06558,37.5359728,127.0658809,37.5359728,127.0658809,1
뚝섬로25길,37.53605,127.06558,37.536835,127.0648049,37.5370335,127.0646089,1
뚝섬로,37.53696,127.06206,37.5367674,127.0628065,37.5367674,127.0628065,1
뚝섬로21길,37.53696,127.06206,37.5370539,127.0621037,37.5373181,127.0622268,1
뚝섬로22길,37.53696,127.06206,37.5369103,127.0620278,37.536332,127.0616537,1
뚝섬로,37.53696,127.06206,37.5371323,127.0614305,37.5371638,127.061303,1
군자로,37.550617,127.0711233,37.5509124,127.0711826,37.5509124,127.0711826,6
군자로11길,37.550617,127.0711233,37.5508234,127.0705083,37.5508234,127.0705083,1
군자로,37.550617,127.0711233,37.5500542,127.0710221,37.5497177,127.0709429,1
면목로,37.5559398,127.0758152,37.5558341,127.0757613,37.5558341,127.0757613,1
면목로,37.5559398,127.0758152,37.5561186,127.0759022,37.5561186,127.0759022,1
면목로,37.5559398,127.0758152,37.5561264,127.0752567,37.5562686,127.0750892,1
면목로,37.5566563,127.076169,37.5562153,127.0759494,37.5562153,127.0759494,1
면목로,37.5566563,127.076169,37.5570235,127.0763728,37.5570235,127.0763728,1
천호대로104길,37.5566563,127.076169,37.5567216,127.0760696,37.5569684,127.075716,1
면목로6길,37.5566563,127.076169,37.5566037,127.0762004,37.5565526,127.0762439,1
면목로,37.56062,127.07836,37.5602605,127.0781637,37.5602605,127.0781637,1
면목로,37.56062,127.07836,37.5607168,127.0784142,37.5607168,127.0784142,1
능동로41길,37.56062,127.07836,37.5605579,127.0784589,37.5603466,127.0790356,1
면목로,37.56187,127.07906,37.5611204,127.0786402,37.5611204,127.0786402,1
면목로,37.56187,127.07906,37.5626805,127.0794987,37.5626805,127.0794987,1
동일로68길,37.56187,127.07906,37.5619487,127.0788363,37.5621195,127.0783812,1
자양번영로,37.53441,127.07604,37.5348049,127.0761621,37.5348049,127.0761621,1
자양번영로,37.53441,127.07604,37.5338156,127.0758633,37.5338156,127.0758633,1
자양번영로8길,37.53441,127.07604,37.5343124,127.0766482,37.5343124,127.0766482,1
자양번영로,37.53699,127.0768,37.5373994,127.0769243,37.5373994,127.0769243,1
자양번영로,37.53699,127.0768,37.5369192,127.0767797,37.5369192,127.0767797,1
자양번영로12길,37.53699,127.0768,37.5368802,127.0772711,37.5368802,127.0772711,1
아차산로,37.541528,127.0970602,37.5413356,127.0965047,37.5413356,127.0965047,1
아차산로,37.541528,127.0970602,37.5416502,127.0973809,37.5416502,127.0973809,1
,37.541528,127.0970602,37.5416152,127.0958896,37.54187,127.0951875,1
아차산로69길,37.5419704,127.0983701,37.5428876,127.0984083,37.5438476,127.0985941,1
아차산로,37.5419704,127.0983701,37.5422848,127.0993027,37.5428312,127.1009237,1
아차산로,37.5419704,127.0983701,37.5418122,127.0978814,37.5416502,127.0973809,1
아차산로,37.5429604,127.1012901,37.5436477,127.1029583,37.544993,127.1042608,1
아차산로,37.5429604,127.1012901,37.5429042,127.1011309,37.5428312,127.1009237,1
아차산로70길,37.5429604,127.1012901,37.54254,127.10152,37.5423,127.10164,1
워커힐로,37.5426562,127.0942678,37.5426948,127.094317,37.5426948,127.094317,1
광나루로50길,37.5426562,127.0942678,37.5426065,127.0941907,37.5424171,127.093849,1
광나루로,37.5426562,127.0942678,37.5416784,127.0952171,37.5415727,127.0953382,1
워커힐로,37.54339,127.0964,37.54326,127.09533,37.5426948,127.094317,1
아차산로,37.54339,127.0964,37.5420034,127.0972113,37.5416502,127.0973809,1
워커힐로,37.54339,127.0964,37.54388,127.09711,37.5439809,127.0972081,1
천호대로140길,37.5439809,127.0972081,37.5438476,127.0985941,37.5438476,127.0985941,1
