,기업명,업력,기업형태,사원수,업종,사업내용,평균연봉,최저연봉,최고연봉,22년 대비 증감률,연봉신뢰도,매출액(2020),매출액(2021),매출액(2022),매출액(2023),영업이익(2020),영업이익(2021),영업이익(2022),영업이익(2023)
376,(주)에이아이구루,,,,,,"7,833","4,311","9,144",-,"매우
낮음",2억원,,,,"3,678만원",,,
377,(주)데이터메이커,,,,,,"3,980","2,590","5,992",-11.71,보통,"13억 6,299만원","42억 9,804만원","56억 8,429만원","49억 7,633만원","9,922만원",8억 245만원,"10억 1,675만원","- 2억 1,459만원"
378,(주)데이터메이커,,,,,,"3,980","2,590","5,992",-11.71,보통,"13억 6,299만원","42억 9,804만원","56억 8,429만원","49억 7,633만원","9,922만원",8억 245만원,"10억 1,675만원","- 2억 1,459만원"
379,(주)데이터메이커,,,,,,"3,980","2,590","5,992",-11.71,보통,"13억 6,299만원","42억 9,804만원","56억 8,429만원","49억 7,633만원","9,922만원",8억 245만원,"10억 1,675만원","- 2억 1,459만원"
380,칼주식회사(영업소),,,,,,,,,,,"13억 6,299만원","42억 9,804만원","56억 8,429만원","49억 7,633만원","9,922만원",8억 245만원,"10억 1,675만원","- 2억 1,459만원"
381,칼주식회사(영업소),,,,,,,,,,,"13억 6,299만원","42억 9,804만원","56억 8,429만원","49억 7,633만원","9,922만원",8억 245만원,"10억 1,675만원","- 2억 1,459만원"
382,(주)데이터디자인엔지니어링,,,,,,"5,765","3,270","7,094",13.96,"매우
낮음","4억 6,966만원","7억 3,213만원","8억 4,718만원","9억 9,750만원","- 7억 1,478만원","- 2,085만원","- 2억 8,380만원","- 5억 5,022만원"
383,(주)데이터디자인엔지니어링,,,,,,"5,765","3,270","7,094",13.96,"매우
낮음","4억 6,966만원","7억 3,213만원","8억 4,718만원","9억 9,750만원","- 7억 1,478만원","- 2,085만원","- 2억 8,380만원","- 5억 5,022만원"
384,칼주식회사(영업소),,,,,,,,,,,"4억 6,966만원","7억 3,213만원","8억 4,718만원","9억 9,750만원","- 7억 1,478만원","- 2,085만원","- 2억 8,380만원","- 5억 5,022만원"
385,(주)덴컴,,,,,,"6,783","3,730","7,775",15.2,"매우
낮음",,,,,,,,
386,(주)데이터디자인엔지니어링,,,,,,"5,765","3,270","7,094",13.96,"매우
낮음","4억 6,966만원","7억 3,213만원","8억 4,718만원","9억 9,750만원","- 7억 1,478만원","- 2,085만원","- 2억 8,380만원","- 5억 5,022만원"
387,(주)데이터디자인엔지니어링,,,,,,"5,765","3,270","7,094",13.96,"매우
낮음","4억 6,966만원","7억 3,213만원","8억 4,718만원","9억 9,750만원","- 7억 1,478만원","- 2,085만원","- 2억 8,380만원","- 5억 5,022만원"
388,(주)헬로서치,,,,,,"3,880","2,667","5,679",2.05,높음,"17억 8,756만원","90억 7,150만원","116억 7,157만원",124억 903만원,"- 1억 4,352만원","2억 3,089만원","3억 5,441만원","4억 1,287만원"
389,(주)뷰런테크놀로지,,,,,,"5,370","3,051","7,029",0.83,보통,,,,,,,,
390,파이(주),,,,,,"5,453","3,149","6,949",2.19,보통,"8억 5,332만원","14억 1,112만원",24억 81만원,"36억 7,702만원","- 1억 4,698만원","5,575만원","2억 1,274만원","5억 7,106만원"
391,(주)로브로스,,,,,,"4,601","2,801","6,136",3.84,낮음,"1억 8,200만원","2억 7,494만원","5억 2,230만원","1억 5,022만원",1억 196만원,"- 1억 6,683만원",- 3억 77만원,"- 6억 7,567만원"
392,(주)반프,,,,,,"7,074","3,911","7,906",22.18,낮음,,,,,,,,
393,자이메드(주),,,,,,,,,,,,,,,,,,
394,(주)에프에스솔루션,,,,,,"8,285","4,003","9,305",45.81,보통,9억 399만원,"22억 4,726만원","18억 4,497만원","16억 3,051만원","2억 1,076만원","7억 1,840만원","2억 2,624만원",- 1억 960만원
395,(주)에프에스솔루션,,,,,,"8,285","4,003","9,305",45.81,보통,9억 399만원,"22억 4,726만원","18억 4,497만원","16억 3,051만원","2억 1,076만원","7억 1,840만원","2억 2,624만원",- 1억 960만원
396,(주)에프에스솔루션,,,,,,"8,285","4,003","9,305",45.81,보통,9억 399만원,"22억 4,726만원","18억 4,497만원","16억 3,051만원","2억 1,076만원","7억 1,840만원","2억 2,624만원",- 1억 960만원
397,오픈엣지테크놀로지(주),,,,,,,,,,,9억 399만원,"22억 4,726만원","18억 4,497만원","16억 3,051만원","2억 1,076만원","7억 1,840만원","2억 2,624만원",- 1억 960만원
398,주식회사 이지서티,,,,,,,,,,,9억 399만원,"22억 4,726만원","18억 4,497만원","16억 3,051만원","2억 1,076만원","7억 1,840만원","2억 2,624만원",- 1억 960만원
399,아이디자인랩,,,,,,"6,361","3,672","7,644",21.35,낮음,,,,,,,,
400,(주)옳은일,,,,,,"3,232","2,529","5,347",-,"매우
낮음","3,458만원",3억 949만원,,,681만원,- 195만원,,
401,(주)아론티어,,,,,,"7,604","3,786","8,639",9.63,낮음,"5,000만원","8,518만원","4억 4,266만원",5억 745만원,"- 15억 1,338만원","- 20억 5,748만원","- 34억 8,540만원","- 31억 1,996만원"
402,(주)아론티어,,,,,,"7,604","3,786","8,639",9.63,낮음,"5,000만원","8,518만원","4억 4,266만원",5억 745만원,"- 15억 1,338만원","- 20억 5,748만원","- 34억 8,540만원","- 31억 1,996만원"
403,(주)아론티어,,,,,,"7,604","3,786","8,639",9.63,낮음,"5,000만원","8,518만원","4억 4,266만원",5억 745만원,"- 15억 1,338만원","- 20억 5,748만원","- 34억 8,540만원","- 31억 1,996만원"
404,(주)인텔리즈,,,,,,"5,990","3,465","7,133",11.34,낮음,"2,600만원","2억 1,490만원","1억 9,570만원",,"- 2,361만원","- 2억 4,410만원","- 4억 1,990만원",
405,(주)지텍,,,,,,"5,228","3,071","6,538",0.35,"매우
낮음",,,,,,,,
406,(주)씨앤에이아이,,,,,,"6,947","3,475","8,141",14.52,"매우
낮음","12억 3,285만원",14억 747만원,"15억 5,513만원","8억 8,413만원","1억 6,958만원","- 8억 4,921만원","- 41억 8,224만원","- 30억 5,511만원"
407,(주)크레스콤,,,,,,,,,,,"12억 3,285만원",14억 747만원,"15억 5,513만원","8억 8,413만원","1억 6,958만원","- 8억 4,921만원","- 41억 8,224만원","- 30억 5,511만원"
408,주식회사 이지서티,,,,,,,,,,,"12억 3,285만원",14억 747만원,"15억 5,513만원","8억 8,413만원","1억 6,958만원","- 8억 4,921만원","- 41억 8,224만원","- 30억 5,511만원"
409,(주)에프에스솔루션,,,,,,"8,285","4,003","9,305",45.81,보통,9억 399만원,"22억 4,726만원","18억 4,497만원","16억 3,051만원","2억 1,076만원","7억 1,840만원","2억 2,624만원",- 1억 960만원
410,(주)에프에스솔루션,,,,,,"8,285","4,003","9,305",45.81,보통,9억 399만원,"22억 4,726만원","18억 4,497만원","16억 3,051만원","2억 1,076만원","7억 1,840만원","2억 2,624만원",- 1억 960만원
411,(주)엔파티클,,,,,,"4,694","2,915","6,282",8.91,"매우
낮음",455만원,"2억 1,236만원","4억 8,860만원",,"- 1억 7,922만원","- 3억 7,878만원","- 2억 5,111만원","- 4억 1,604만원"
412,(주)에프에스솔루션,,,,,,"8,285","4,003","9,305",45.81,보통,9억 399만원,"22억 4,726만원","18억 4,497만원","16억 3,051만원","2억 1,076만원","7억 1,840만원","2억 2,624만원",- 1억 960만원
413,(주)도슨티,,,,,,"3,175","2,481","5,504",-,"매우
낮음","- 4,360만원",,,,,,,
414,(주)스카우트파트너스,,,,,,"6,362","3,450","6,824",36.73,"매우
낮음",,,,,,,,
415,마린웍스(주),,,,,,"5,111","3,023","6,620",13.4,보통,"58억 6,181만원","49억 5,435만원","47억 2,754만원","79억 3,534만원","9,191만원","- 2억 4,913만원","- 11억 8,756만원","2억 4,292만원"
416,(주)아이비넥스트,,,,,,"3,496","2,565","4,975",4.33,"매우
낮음","9억 3,506만원","14억 2,187만원","17억 4,436만원",17억 944만원,"2,906만원","5,588만원","7,479만원","1억 2,872만원"
417,(주)스카우트파트너스,,,,,,"6,362","3,450","6,824",36.73,"매우
낮음",,,,,,,,
418,(주)스카우트파트너스,,,,,,"6,362","3,450","6,824",36.73,"매우
낮음",,,,,,,,
419,(주)스카우트파트너스,,,,,,"6,362","3,450","6,824",36.73,"매우
낮음",,,,,,,,
420,(주)인티그리트,,,,,,"6,492","3,642","7,392",2.8,낮음,,,,,,,,
421,(사)한국치매협회,,,,,,"6,492","3,642","7,392",2.8,낮음,,,,,,,,
422,(주)모빌리오,,,,,,"3,478","2,448","5,459",-15.07,"매우
낮음",,,,,,,,
423,엠클라우드브리지(주),,,,,,"5,361","3,095","7,286",-6.37,낮음,"26억 2,004만원","139억 8,557만원",,,938만원,"2,910만원",,
424,(주)바이오바이츠,,,,,,"2,975","2,093","5,046",-,"매우
낮음",,,,,,,,
425,(주)코그콤,,,,,,,,,,,,,,,,,,
426,(주)에피넷,,,,,,"5,965","3,390","7,315",-11.14,낮음,,,,,,,,
427,(주)쓰리아이,,,,,,"7,107","3,627","7,960",13.49,높음,,,,,,,,
428,(주)글로벌시스템스,,,,,,,,,,,,,,,,,,
429,(주)글로벌시스템스,,,,,,,,,,,,,,,,,,
430,(주)글로벌시스템스,,,,,,,,,,,,,,,,,,
431,(주)티엘시엠,,,,,,,,,,,,,,,,,,
432,(주)마인드에이아이,,,,,,"5,636","3,229","7,419",-9.82,"매우
낮음",,,,,,,,
433,(주)마인드에이아이,,,,,,"5,636","3,229","7,419",-9.82,"매우
낮음",,,,,,,,
434,(주)마인드에이아이,,,,,,"5,636","3,229","7,419",-9.82,"매우
낮음",,,,,,,,
435,(주)마인드에이아이,,,,,,"5,636","3,229","7,419",-9.82,"매우
낮음",,,,,,,,
436,(주)알세미,,,,,,"8,761","4,811","10,109",3.82,"매우
낮음",,,,,,,,
437,(주)알세미,,,,,,"8,761","4,811","10,109",3.82,"매우
낮음",,,,,,,,
438,(주)비바이노베이션,,,,,,"5,682","3,243","7,521",14.83,보통,,,,,,,,
439,(주)헤르메스솔루션,,,,,,"5,682","3,243","7,521",14.83,보통,,,,,,,,
440,(주)에이스파트너스서치펌,,,,,,"5,682","3,243","7,521",14.83,보통,,,,,,,,
441,(주)액시언,,,,,,"5,682","3,243","7,521",14.83,보통,,,,,,,,
442,(주)액시언,,,,,,"5,682","3,243","7,521",14.83,보통,,,,,,,,
443,(주)스타마타,,,,,,"5,682","3,243","7,521",14.83,보통,,,,,,,,
444,(주)디바인테크놀로지,,,,,,"6,669","3,488","7,879",24.56,낮음,,,,,,,,
445,(주)스타마타,,,,,,"6,669","3,488","7,879",24.56,낮음,,,,,,,,
446,(주)디바인테크놀로지,,,,,,"6,669","3,488","7,879",24.56,낮음,,,,,,,,
447,(주)바인컨설팅,,,,,,"6,669","3,488","7,879",24.56,낮음,,,,,,,,
448,(주)포비콘,,,,,,"2,648","2,292","5,186",-,"매우
낮음",,,,,,,,
449,한국기술교육직업전문학교,,,,,,,,,,,,,,,,,,
450,미래융합교육원,,,,,,,,,,,,,,,,,,
451,미래융합교육원,,,,,,,,,,,,,,,,,,
452,에이엠(주),,,,,,"7,177","3,688","7,854",3.71,"매우
높음","608억 8,865만원","663억 8,586만원","727억 9,546만원","806억 9,131만원","97억 2,669만원","96억 6,010만원","110억 5,381만원","110억 1,411만원"
453,(주)키스텍연구원,,,,,,"6,979","3,635","7,859",-7.01,"매우
낮음","6억 9,541만원",,,,"- 3,559만원","- 2억 2,797만원",,
454,(주)애자일소다,,,,,,"6,170","3,323","7,568",2.42,보통,,,,,,,,
455,(주)디엔소프트,,,,,,"3,954","2,593","6,036",4.16,낮음,"6억 2,982만원","9억 3,906만원","10억 8,385만원","14억 4,495만원","- 1억 8,893만원","9,905만원","- 4억 8,444만원","1,021만원"
456,(주)애자일소다,,,,,,"6,170","3,323","7,568",2.42,보통,,,,,,,,
457,(주)애자일소다,,,,,,"6,170","3,323","7,568",2.42,보통,,,,,,,,
458,(주)애자일소다,,,,,,"6,170","3,323","7,568",2.42,보통,,,,,,,,
459,(주)애자일소다,,,,,,"6,170","3,323","7,568",2.42,보통,,,,,,,,
460,에이치알클릭,,,,,,,,,,,,,,,,,,
461,(주)애자일소다,,,,,,"6,170","3,323","7,568",2.42,보통,,,,,,,,
462,(주)비에이블컨설팅그룹,,,,,,,,,,,,,,,,,,
463,(주)지엠티,,,,,,"5,224","3,012","6,936",7.76,"매우
낮음","242억 9,695만원","185억 9,158만원","200억 8,268만원","231억 4,827만원","22억 6,801만원","9억 7,213만원","1억 2,710만원","3억 6,171만원"
464,(주)업스테이지,,,,,,"8,631","4,371","10,159",21.46,"매우
낮음","2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
465,(주)업스테이지,,,,,,"8,631","4,371","10,159",21.46,"매우
낮음","2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
466,(주)업스테이지,,,,,,"8,631","4,371","10,159",21.46,"매우
낮음","2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
467,(주)업스테이지,,,,,,"8,631","4,371","10,159",21.46,"매우
낮음","2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
468,(주)업스테이지,,,,,,"8,631","4,371","10,159",21.46,"매우
낮음","2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
469,(주)업스테이지,,,,,,"8,631","4,371","10,159",21.46,"매우
낮음","2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
470,주식회사 지니어스,,,,,,,,,,,"2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
471,주식회사 지니어스,,,,,,,,,,,"2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
472,(주)제이엠트루,,,,,,"6,091","3,463","7,463",18.76,낮음,"8억 3,467만원",9억 762만원,"9억 8,646만원","12억 6,114만원","4,779만원","4,218만원","7,620만원","7,698만원"
473,알고스,,,,,,,,,,,"8억 3,467만원",9억 762만원,"9억 8,646만원","12억 6,114만원","4,779만원","4,218만원","7,620만원","7,698만원"
474,쉬모스랩,,,,,,"5,555","3,166","7,210",32.36,"매우
낮음","1,455만원","3억 1,050만원","2억 2,833만원","1억 3,503만원","- 7,148만원","- 9,415만원","- 9,146만원","- 8,140만원"
475,(주)옵트에이아이,,,,,,"5,017","2,959","6,745",-3.67,"매우
낮음","4,851만원","3억 3,904만원",,,"- 1,162만원","- 1억 6,598만원","- 2억 5,857만원",
476,(주)옵트에이아이,,,,,,"5,017","2,959","6,745",-3.67,"매우
낮음","4,851만원","3억 3,904만원",,,"- 1,162만원","- 1억 6,598만원","- 2억 5,857만원",
477,(주)드림에이치알,,,,,,,,,,,"4,851만원","3억 3,904만원",,,"- 1,162만원","- 1억 6,598만원","- 2억 5,857만원",
478,(주)위얼라이브,,,,,,"4,782","3,037","6,380",28.62,낮음,"4억 1,469만원","3억 5,856만원","2억 5,288만원","10억 5,861만원","- 3,722만원","- 3억 8,688만원","- 3억 5,520만원","- 3억 4,190만원"
479,주식회사 구로테크,,,,,,,,,,,"4억 1,469만원","3억 5,856만원","2억 5,288만원","10억 5,861만원","- 3,722만원","- 3억 8,688만원","- 3억 5,520만원","- 3억 4,190만원"
480,(주)엔에스씨시스템,,,,,,,,,,,,,,,,,,
481,(주)엔에스씨시스템,,,,,,,,,,,,,,,,,,
482,(주)메디씽큐,,,,,,,,,,,,,,,,,,
483,(재)중소조선연구원,,,,,,,,,,,,,,,,,,
484,한국폴리텍대학아산캠퍼스,,,,,,,,,,,,,,,,,,
485,(주)엠에스아이랩스,,,,,,"3,754","2,527","5,692",-,"매우
낮음",627만원,,,,"- 1,306만원",,,
486,(주)에이티센스,,,,,,,,,,,627만원,,,,"- 1,306만원",,,
487,(주)에이티센스,,,,,,,,,,,627만원,,,,"- 1,306만원",,,
488,아타드(주),,,,,,"4,021","2,662","6,020",5.82,"매우
낮음","7,773만원",,,,"- 6억 2,647만원",,,
489,엠아르오디펜스(주),,,,,,"5,347","3,091","7,152",-,"매우
낮음","1,000만원",,,,- 164만원,- 869만원,,
490,(주)헥토,,,,,,"7,830","4,192","9,450",4.46,보통,,,,,,,,
491,(주)케이텍,,,,,,"7,252","3,800","7,347",17.59,"매우
높음","86억 3,235만원","108억 7,261만원","156억 3,049만원","250억 8,178만원","5억 7,838만원","3억 5,102만원","12억 3,851만원",16억 991만원
492,(주)브레인데크,,,,,,"4,056","2,746","5,896",2.63,낮음,,,,,,,,
493,(주)HR컨설팅그룹,,,,,,"4,056","2,746","5,896",2.63,낮음,,,,,,,,
494,(주)씨에스텍,,,,,,"4,818","2,894","5,972",6.76,높음,,,,,,,,
495,(주)브이비젼,,,,,,"4,818","2,894","5,972",6.76,높음,,,,,,,,
496,(주) 더블유닷에이아이,,,,,,"7,858","4,597","9,045",-,"매우
낮음",,,,,,,,
497,(주) 더블유닷에이아이,,,,,,"7,858","4,597","9,045",-,"매우
낮음",,,,,,,,
498,(주)애드,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
499,주식회사 트렌드오브데이터,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
500,코콤평택센터,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
501,티앤씨,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
502,성남그린컴퓨터아카데미,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
503,라우트웨이컨설팅주식회사,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
504,에이치알브로스,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
505,베르투솔루션,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
506,굿커리어,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
507,재단법인인프라재난관리진흥원,,,,,,,,,,,,,,,,,,
508,프로솔루션,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
509,주식회사 트렌드오브데이터,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
510,주식회사 트렌드오브데이터,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
511,주식회사 트렌드오브데이터,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
512,에이치알브로스,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
513,굿커리어,,,,,,"4,864","2,910","6,300",-0.67,"매우
낮음",,,,,,,,
514,(주)디에스앤지,,,,,,"6,773","3,728","7,910",18.06,"매우
낮음","686억 1,372만원","687억 3,029만원","994억 4,681만원","819억 4,069만원",66억 234만원,"83억 4,043만원","104억 3,226만원","165억 5,531만원"
515,HR Tube,,,,,,,,,,,"686억 1,372만원","687억 3,029만원","994억 4,681만원","819억 4,069만원",66억 234만원,"83억 4,043만원","104억 3,226만원","165억 5,531만원"
516,에이치알브로스,,,,,,,,,,,"686억 1,372만원","687억 3,029만원","994억 4,681만원","819억 4,069만원",66억 234만원,"83억 4,043만원","104억 3,226만원","165억 5,531만원"
517,굿커리어,,,,,,,,,,,"686억 1,372만원","687억 3,029만원","994억 4,681만원","819억 4,069만원",66억 234만원,"83억 4,043만원","104억 3,226만원","165억 5,531만원"
518,굿커리어,,,,,,,,,,,"686억 1,372만원","687억 3,029만원","994억 4,681만원","819억 4,069만원",66억 234만원,"83억 4,043만원","104억 3,226만원","165억 5,531만원"
519,(주)해인생태연구소,,,,,,,,,,,,,,,,,,
520,다빈치이미징(주),,,,,,,,,,,,,,,,,,
521,하드콘(주),,,,,,,,,,,,,,,,,,
522,쓰리알이노베이션(주),,,,,,,,,,,,,,,,,,
523,인트인(주),,,,,,,,,,,,,,,,,,
524,한화비전(주),,,,,,,,,,,,,,,,,,
525,(주)솔루윈스,,,,,,,,,,,,,,,,,,
526,(주)솔루윈스,,,,,,,,,,,,,,,,,,
527,이투데이,,,,,,,,,,,,,,,,,,
528,에이치알포유(주),,,,,,,,,,,,,,,,,,
529,시큐어트리(주),,,,,,,,,,,,,,,,,,
530,(주)에너자이,,,,,,,,,,,,,,,,,,
531,에이치알포유(주),,,,,,,,,,,,,,,,,,
532,(주)메디인테크,,,,,,"5,376","3,117","6,728",13.49,낮음,,,,,,,,
533,블루닷(주),,,,,,"6,842","3,602","8,252",-4.28,낮음,,,,,,,,
534,블루닷(주),,,,,,"6,842","3,602","8,252",-4.28,낮음,,,,,,,,
535,쿠팡(주),,,,,,,,,,,,,,,,,,
536,주식회사비큐에이아이,,,,,,"3,331","2,467","5,586",-1.89,낮음,"149억 3,950만원","169억 9,428만원","162억 4,364만원","168억 9,229만원","- 9억 6,447만원","- 8억 2,060만원","- 11억 7,865만원","2억 4,028만원"
537,(주)소만사,,,,,,,,,,,"149억 3,950만원","169억 9,428만원","162억 4,364만원","168억 9,229만원","- 9억 6,447만원","- 8억 2,060만원","- 11억 7,865만원","2억 4,028만원"
538,(주)희림종합건축사사무소,,,,,,,,,,,,,,,,,,
539,남광토건(주),,,,,,,,,,,,,,,,,,
540,(주)켐트로닉스,,,,,,,,,,,"149억 3,950만원","169억 9,428만원","162억 4,364만원","168억 9,229만원","- 9억 6,447만원","- 8억 2,060만원","- 11억 7,865만원","2억 4,028만원"
541,(주)맨파워그룹코리아,,,,,,"3,824","2,615","5,048",3.32,"매우
높음","1,182억 4,923만원","1,147억 9,161만원","1,257억 3,621만원","1,233억 8,443만원",16억 748만원,12억 242만원,13억 732만원,"10억 5,224만원"
542,(주)맨파워그룹코리아,,,,,,"3,824","2,615","5,048",3.32,"매우
높음","1,182억 4,923만원","1,147억 9,161만원","1,257억 3,621만원","1,233억 8,443만원",16억 748만원,12억 242만원,13억 732만원,"10억 5,224만원"
543,(주)클리오,,,,,,,,,,,,,,,,,,
544,엔에이치엔(주),,,,,,"8,243","4,231","9,914",7.46,높음,,,,,,,,
545,(주)위즈코리아,,,,,,,,,,,,,,,,,,
546,(주)칩스앤미디어,,,,,,"11,648","5,485","11,937",15.33,보통,,,,,,,,
547,(주)칩스앤미디어,,,,,,"11,648","5,485","11,937",15.33,보통,,,,,,,,
548,(주)칩스앤미디어,,,,,,"11,648","5,485","11,937",15.33,보통,,,,,,,,
549,(주)칩스앤미디어,,,,,,"11,648","5,485","11,937",15.33,보통,,,,,,,,
550,(주)칩스앤미디어,,,,,,"11,648","5,485","11,937",15.33,보통,,,,,,,,
551,(주)칩스앤미디어,,,,,,"11,648","5,485","11,937",15.33,보통,,,,,,,,
552,(사)캠틱종합기술원,,,,,,"5,840","3,329","7,177",10.79,보통,152억 501만원,"216억 4,296만원","286억 6,861만원","305억 2,982만원","- 8,711만원","7억 8,548만원","18억 6,655만원","9억 8,831만원"
553,(주)이노메트리,,,,,,,,,,,,,,,,,,
554,메가존클라우드(주),,,,,,"7,146","3,874","8,393",8.17,"매우
낮음",,,,,,,,
555,(주)더존비즈온,,,,,,"5,698","3,243","7,195",4.51,"매우
높음",,,,,,,,
556,㈜피앤피시큐어,,,,,,"6,199","3,333","7,889",6.59,높음,"345억 8,289만원",431억 959만원,"526억 6,243만원","583억 9,737만원","165억 2,075만원","236억 6,490만원","262억 2,890만원","274억 9,307만원"
557,(주)에이피텍,,,,,,"7,072","3,807","7,856",16.22,높음,"531억 3,378만원","868억 2,966만원","658억 2,276만원","988억 1,657만원","84억 8,815만원","78억 7,032만원","129억 2,751만원","123억 6,050만원"
558,(주)비상교육,,,,,,,,,,,"531억 3,378만원","868억 2,966만원","658억 2,276만원","988억 1,657만원","84억 8,815만원","78억 7,032만원","129억 2,751만원","123억 6,050만원"
559,(주)유비온,,,,,,"5,358","3,046","6,881",7.76,높음,"280억 6,713만원","314억 6,111만원","318억 3,183만원",332억 582만원,"17억 2,410만원","23억 4,467만원","5억 1,227만원","- 19억 6,616만원"
560,(주)한국마이콤,,,,,,,,,,,,,,,,,,
561,(주)이글루코퍼레이션,,,,,,"4,698","2,905","6,683",-1.09,"매우
높음",,,,,,,,
562,(주)이글루코퍼레이션,,,,,,"4,698","2,905","6,683",-1.09,"매우
높음",,,,,,,,
563,(주)엘앤에프,,,,,,,,,,,,,,,,,,
564,(주)모니터랩,,,,,,"4,882","2,920","6,928",-,높음,"107억 1,656만원","120억 1,400만원","140억 3,207만원","139억 9,890만원","12억 8,249만원","20억 6,582만원","16억 4,646만원","3억 4,580만원"
565,(주)솔로몬텍,,,,,,"5,273","2,968","6,461",9.28,높음,"434억 4,009만원","489억 7,630만원","548억 3,128만원",613억 275만원,"11억 4,235만원","12억 8,424만원","15억 4,511만원","32억 9,833만원"
566,코스텍시스템(주),,,,,,,,,,,"434억 4,009만원","489억 7,630만원","548억 3,128만원",613억 275만원,"11억 4,235만원","12억 8,424만원","15억 4,511만원","32억 9,833만원"
567,(주)솔로몬텍,,,,,,"5,273","2,968","6,461",9.28,높음,"434억 4,009만원","489억 7,630만원","548억 3,128만원",613억 275만원,"11억 4,235만원","12억 8,424만원","15억 4,511만원","32억 9,833만원"
568,(주)맨파워코리아,,,,,,"3,838","2,631","5,000",3.01,"매우
높음","2,223억 8,396만원","2,551억 9,366만원","2,912억 4,955만원","3,358억 9,825만원","16억 2,973만원","29억 5,077만원","46억 3,171만원","55억 2,381만원"
569,(주)태성에스엔이,,,,,,,,,,,,,,,,,,
570,(주)유클릭,,,,,,"6,844","3,444","8,001",6.62,높음,"1,432억 9,592만원","1,550억 6,394만원","1,940억 9,641만원","1,740억 4,762만원","27억 7,726만원","28억 9,887만원",35억 247만원,"28억 5,551만원"
571,(주)맨파워코리아,,,,,,"3,838","2,631","5,000",3.01,"매우
높음","2,223억 8,396만원","2,551억 9,366만원","2,912억 4,955만원","3,358억 9,825만원","16억 2,973만원","29억 5,077만원","46억 3,171만원","55억 2,381만원"
572,(주)유클릭,,,,,,"6,844","3,444","8,001",6.62,높음,"1,432억 9,592만원","1,550억 6,394만원","1,940억 9,641만원","1,740억 4,762만원","27억 7,726만원","28억 9,887만원",35억 247만원,"28억 5,551만원"
573,(주)맨파워코리아,,,,,,"3,838","2,631","5,000",3.01,"매우
높음","2,223억 8,396만원","2,551억 9,366만원","2,912억 4,955만원","3,358억 9,825만원","16억 2,973만원","29억 5,077만원","46억 3,171만원","55억 2,381만원"
574,(주)솔로몬텍,,,,,,"5,273","2,968","6,461",9.28,높음,"434억 4,009만원","489억 7,630만원","548억 3,128만원",613억 275만원,"11억 4,235만원","12억 8,424만원","15억 4,511만원","32억 9,833만원"
575,(주)미리디,,,,,,"5,326","3,011","7,100",14.44,높음,,,,,,,,
576,이니스트에스티(주),,,,,,"6,606","3,569","7,927",7.92,높음,"539억 1,646만원","543억 6,914만원",702억 133만원,625억 772만원,2억 413만원,21억 228만원,"62억 1,505만원",40억 64만원
577,(주)크레버스,,,,,,,,,,,"539억 1,646만원","543억 6,914만원",702억 133만원,625억 772만원,2억 413만원,21억 228만원,"62억 1,505만원",40억 64만원
578,(주)크래프톤,,,,,,"9,743","4,867","10,799",-10.51,보통,,,,,,,,
579,(주)크래프톤,,,,,,"9,743","4,867","10,799",-10.51,보통,,,,,,,,
