인물,대사
민용, 네.
민정,아 역시 안 좋은 일이 있으시구나..  그래서 다크써클이 씨꺼멓게...
민정,윤선생님 후임으로 내가 여러분들 담임 맡게 됐는데 이번 학기 얼마 안 남았지만 즐겁게 잘 보내봅시다.
민정, 아우 나 실전이 처음이라 되게 어색하다.. 어쨌든 열심히 할게~ 
아이들,우우 
민정,반장이 누구지?
민호,전데요. 
민정,내가 잘 몰라서 그러는데 앞으로 반장한테 많이 물어봐야겠다.
민호,예전 학급운영시스템 제가 정리해서 메일로 보내드릴께요.
민정,고마워..  근데 오늘 결석한 사람이 있나보다? 누구
민호, 이윤호요~
민정,이윤호.. 
윤호, 잠깐!
윤호, 선생님 이윤호 지각 아닙니다.
민정, 그래 그럼 취소.. 
민호, 선생님 분명히 조회 종 친후에 들어왔는데 왜 지각이 아닌가요? 전 이해가 잘...
민정,응? 아니 뭐 엄밀히 따지만 지각이긴 하지만~
민호,지각이면 출석부에 기록하는게 원칙 아닌가요?
윤호, 그거야 선생님 마음이시지~
민정, 그래 내가 뭘 몰라서 실수한 거 같다 미안~ 반장 말이 맞아. 원칙은 원칙이니까 윤호 지각...
윤호,와 선생님이 이랬다 저랬다 하시구 어우~ 
민정,아...  그럼...  첫날이니까 기분으로 한번만 봐줄까 반장..
민호,선생님? 
민정, 안되겠지 이윤호 지각..  내일부터 늦지 마세요.
민정, 그럼 내 소개 할께. 
민정, 아 분위기 왜 이래... 엄마 어떡해 남자 고딩들 너무 무서워~~
순재,준하야 준하야... 
순재,어라? 사진이 언제 왔어?  이걸 왜 여기다 걸었어? 나한테 묻지도 않고...
순재,야 화진전자 올랐다 팔자.
준하,예?
순재,화진전자 400원 올랐다니까~ 지금 팔아.
준하,그거 어제 팔았어요.
순재,뭐? 야 그걸 왜 어제 팔아? 지금 팔았으면  사 팔에 삼십이 삼백이십 버는건데~
준하, 그렇게 결과로만 따지면 뭐...
순재,아니 결과나 마나 임마 내꺼 팔면서 왜 나한테 상의를 안해?
준하,100원 높게 내놨는데 팔리길래요..
순재,야 100원 고거 먹을라고 한달 기다렸냐? 나한테 상의를 했어야지~
준하, 알았어요.
순재, 이 자식이 별 쓰잘데기 없는 건 맨날 물어보면서 그런 중요한 걸 상의도 없이..
개성댁,그래두 걔가 통은 크잖아?
문희,큰애? 통이 크기는~ 그 싹퉁바가지가 지네 친정에만 통 크지 우리한텐 얼마나 구두쇤데~
개성댁,놀구있네. 차라리 주질 말지~
순재,당신 가족사진을 왜 저기다..
개성댁,어머!  어유 안녕하세요.
순재,아 네.
개성댁,나 갈께~ 안녕히 계세요. 
문희,가. 당신 이 시간에 왠일이유?
순재,가족사진을 왜 저기다 걸었어? 들어오면 보이게 이쪽 벽에 걸어야지.
문희,뭐 아무데나 걸면 어때서요..
순재, 안돼 이쪽에 걸어.  머리는 뭘 그런걸 쓰고 있어? 
문희,어~  개성댁이랑 미장원에서 머리 말다 잠깐 온거야.
순재,파마를 왜? 설마 뽀글뽀글한 뽀글파마 그거 하는거야?
문희,예.
순재, 아 내가 싫어하는 거 알면서 왜 뽀글파마를 해?
문희,그게 젤 편해. 한번 하면 만사 편한걸.
순재,그래도 내가 싫어하는데 왜 해! 나랑 상의도 없이!
문희,다시 풀어달라 그래요? 풀어도 돈은 다 내야 돼..
순재,아우 씨! 
윤호,예.
찬성,야 이윤호 나 황찬성이다.
윤호,그래서?
찬성,승현이가 우리 전학온 기념으로 함 뜨자고 기다리고 있는데 왜 코빼기를 안 보여? 겁나나보지?
윤호, 그래 겁난다 아우 무서워~
찬성,야 우리 지금 옥상에 있거든? 쉬끼 10초안에 튀어 와라.
찬성,여보세요? 야 이윤호! 이 쉬끼가 진짜!  끊어버리는데?
승현, 뭐?!!  그럼 모시러 가야지. 
찬성, 이윤호!
찬성,뭐야 다 갔네?  야 이윤호 어딨어?
민호, 몰라.
찬성,그 쉐끼 언제 나갔어?
민호, 몰라. 나 공부하는데 좀 나가줄래?
찬성, 이 자식이 엊다대고~ 나가줄래?
민호, 아니 여기 없으니까 나가서 찾아보라고.. 내가 나갈께 그럼.. 
승현, 죽고 싶냐?
민호, 죽고 싶은 사람이 어딨어...?
찬성,아 잠깐! 이 자식 이윤호 형 아냐?
찬성,맞아 이 자식  이민호! 접때 들었어~ 같은반에 형 있다고~ 이 자식 형 맞아!
민호, 설마..
승현, 그래? 근데 형제가 어떻게 같은 학년이지?
찬성,도치가 그러던데 그 쉐끼가 일곱살에 학교 들어가서 그렇대!
승현,그래? 니가 이윤호 형이라고.. 
민호, 윤호 찾는거면 빨리 나가봐. 멀리 못갔어. 방금전에 나갔어!
찬성,야 너 우리랑 좀 가야겠다! 
민호,어?  야 윤호 찾는거면 빨리 나가보라니까! 위해서 알려주는거야 바보야~
문희,준하야 밥 다 먹고 나랑 민용이네 좀 다녀오자.
준하, 민용이네는 왜요? 
문희,어제 김치 준다고선 깜박했어. 밑반찬도 다 떨어졌을텐데. 그리구 쓰던 전자렌지도 가져간다 그러더니 그냥 갔잖아.
준하,네.
순재,나 없는 동안 뭐 별일 없었지?
간호사,예.
순재,어이 이거 약재값이 이거 맞는거야? 정확한거야?
간호사,예...맞는데요. 
순재,그래?  근데 근무중에 왜 이런 사복을 입고 있어?
간호사,네? 박원장님이 가운 바꾸셔서 오늘 전부..
순재,뭐? 왜 갑자기..  이거 뭐야?
환자1, 아줌마!  어머 아줌마 아니구나. 
순재,누구 맘대로 가운을 바꿔? 나한테 묻지도 않고! 
간호사,박원장님 잠깐 자리 비우셨는데요~
순재,이것들이 정말 도대체 왜들 이래!
신지,후... 
신지, 누구...
문희, 준이에미야~
문희,준이에미야 나 왔다!
준하,제수씨!  없나본데요?
문희,전화 좀 해봐라.
준하, 없나봐요. 엄마 가요.
경비원,801호 부부요? 글쎄요 오늘은 못 본 거 같은데요..
경비원,애기 엄마 차도 없고..
문희,어떻게 된거야. 얘들이 전화가 다 먹통이고?
준하,어디 나갔나 보죠. 일단 가요 엄마.
경비원,아이구 헛걸음하셔서 어떡하시나..  어이쿠 무거워. 무슨 돌덩이가 들었나.
문희,줘요. 
경비원,할머니 안 무거우세요?
경비원,아니 노인네가 천하장사네.. 저 무거운걸...
윤호,왜?
해미,이윤호 어디야?
윤호,학원이지~
해미,니 형은 왜 전화를 안 받니?
윤호,걸 내가 어떻게 알어~
해미,학원이라며 같이 안 있어?
윤호,어 강의 시작한다 엄마 끊어. 
윤호, 아 집중을 못하게하네.  예.
찬성,나다 자식아 황찬성!
윤호, 너랑 얘기할 시간 없다.
찬성, 잠깐만! 자식아 지금 누구랑 있는 줄 아냐? 알면 놀라서 오줌 질질 싸면서 겨올걸?
윤호,누구랑 있는데?
찬성,니네 형 이민호! 푸하하 어떠냐 이 자식아. 니네 형 지금 우리 손에 있다!
윤호,난 또 누구라고. 맘대로 해.
찬성,뭐?  맘대로 하라는데?
승현,형인데?
찬성,야 형인데? 거짓말인 줄 아나본데 진짜야 목소리 들려줘? 
민호,소용없을껄...  야 난데..  거봐 끊었잖아.
찬성,뭐?  여보세요? 어 진짜네?
승현,니네 친형제 아냐?
민호,친형제 맞어...
승현,근데 왜 이래?
민호,우리 원래 이래.. 그러니까 난 이만.. 
찬성,뭐 이런 돌썅 형제가 다 있어? 승현아 우리 이자식이라도 오늘 개패듯이 함 패자! 짱나서 못참겠다! 
민호, 하지마!!
찬성, 이 자식 어디서 큰소리를..
민호, 큰소리 아니야! 그냥 소리가 커졌어! 오해하지마!
찬성,오해고 뭐고 너 오늘 죽어봐라...
민호, 잠깐만! 내 동생 오면 나 풀어주냐?
찬성,안오잖아!
민호, 그러니까 오면 풀어주냐구!!?
찬성,이자식이 어디서 자꾸 큰소리를.. 
민호,큰소리 아니야. 오해 좀 하지마! 오게할게. 내가 오게할게! 핸드폰 줘 봐! 
찬성,자식이 근데...
민호, 아니 빨리 할려고! 
윤호, 뭐야 또~
민호, 나 민혼데  너 엄마한테 진수 오토바이 사고 내서 돈 물어주는 거 다 말한다~
윤호,뭐? 이 비겁한 자식~
민호,이미 아침에 힌트 좀 줬어. 엄마가 오늘 물어볼껄~ 여기 학교옥상인데..
윤호,거기 기다려!  이게 아침부터 까불더니~ 죽었어!
민호, 온대. 대신 오면 확실히 좀 제압해줘. 그 자식 일주일전에 맹장수술해서 여기가 약점이야.
승현, 이 자식들 진짜 친형제 맞어?
준하,마을버스 탈거죠?
문희,야 저거봐라.
문희,야 저 소파 좋아보이지? 
준하,저거요?
문희, 누가 이렇게 멀쩡한 걸 내놨어?
준하, 그러게요 쿠션도 좋은데~ 엄마 이거 베란다 놓으면 딱이겠다. 거기서 낮에 누워 자면.
문희,그럴까?
관리인,그거 가져가시게요?
문희,이거 버린거잖아요. 가져가도 돼죠?
관리인,네. 근데 용달을 불러야 될텐데.
준하,용달 필요없어요. 그냥 들고 가지 뭐.
문희,그래 뭐하러 돈 써.
관리인, 에? 이걸 어떻게 들고 가요? 집이 어디신데?
준하, 소망병원 사거리요. 엄마 그 쪽 잡으세요.
관리인,헤~ 거기까지 들고 간다고? 말도 안돼 그게 장정 넷이 들어도..
문희,아저씨 참 저 짐 좀 여기다 놔주실라우?
관리인,에? 에...  아쿠 이거 엄청 무거운데? 이거 전자렌지 아녜요? 이걸 어떻게...
준하,거기 위에 놔주세요.
문희,고맙수. 가자.
관리인,그게 안 무거우세요?
준하, 괜찮아요.
문희, 우리 모자가 원래 힘이 좀 좋다우.
순재,이 꼬라지가 이게 뭐야 이게...하 씨!!  이봐 박원장 아직도 안 들어왔어?
간호사, 지금 연락왔는데 바로 퇴근하신다고.
순재,뭐야? 아니 누구 맘대로 퇴근을 해! 
해미,여보세요? 아버님?
순재, 너 왜 벌써 퇴근을 해?
해미,문화약재 사람들 만나고 그냥 들어왔어요. 예약환자도 없고..
순재,예약환자가 있든 없든 니 맘대로 퇴근이냐 나한테 상의도 없이? 그리고! 가운은 왜 나한테 상의도 안하고 맘대로 바꿔?
찬성,어 왔어~ 그래두 형 걱정은 됐나보지?
윤호, 너 이리와!
찬성,내가 먼저다 이야아아~ 
윤호,너 일루와!
승현,붙자... 
윤호, 일루와 너!
민호, 배가 약점이라 그랬지 내가? 배!
승현, 왜 이래~  야 덤벼!
윤호, 일루와 이 치사한 자식아!
민호, 배 때려 배!
승현,야 왜 이래~  이게!
윤호, 일루 안와?
승현,얌마 나랑 붙자고! 야!
윤호,거기 안 서?
승현,나랑 붙자고! 
윤호,비켜 자식아! 
승현, 어딜 가!
윤호,아 진짜 비켜 좀! 
승현,얌마 상대는 나라고! 나랑 붙자니까!!!
찬성, 어떻게 됐어.........?
승현,쟤들이 정말 형제 맞다구?
찬성,맞다잖아~
승현,햐 저 집안도 완전 콩가루구나... 
윤호,거기 안 서?!! 죽는다 진짜!
민정,아 이선생님 조카들이 얘들이었구나.. 근데 형제라면서 왜 그렇게 분위기가 살벌해? 싸웠나? 
윤호,죽었어 씨! 
민호,놔 놔! 
민정, 그럼 그렇지..  니들 화해했구나~! 어깨동무까지 하고~
윤호,너 죽었어!!! 
문희,야 야 귀찮아. 그냥 건너자.
준하,밑으로요?
준하,아씨 걸렸어요!
문희,야 야 뛰어 뛰어!!
준하,엄마 잡히겠어요 저거~
문희,내가 간다~
경찰, 아니 세상에..저게 말이 돼..? 무슨 힘이 저렇게...
문희,따돌렸냐?
준하,안보여요~
준하,엄마 앞에 물웅덩이 있다~ 엄마 점프!
순재,가운이 이게 뭐냐고 이게 이게?
해미,맘에 안 드세요?
순재,이게 기생오래비같이 이게 뭐야 이게?
해미, 아버님이랑 잘 어울리실 줄 알았는데 좀 그런가..?
순재,그러고 뭘할려면 나한테 먼저 상의를 하든가! 상의 한마디 없이 가운 바꾸고 상의 한마디 없이 퇴근하고!
해미,진정하세요 아버님.
순재,진정하게 됐냐? 오늘 하나같이 왜들 그래 진짜? 준하놈은 상의도 없이 주식 팔고 할망구는 상의도 없이 뽀글파마하고!
순재, 그건 또 뭐야?
문희,멀쩡한 걸 버려놨길래 베란다에 놀려구.
순재, 누가 그런 거지같은 걸 베란다에 놓으래!! 정말 다들 이럴래? 왜 상의도 안하고 헛짓꺼리들이야 정말!!
순재,좋아! 이제 이 시간부터 나랑 상의안하고 뭔 짓하는 놈 있으면 나한테 아주 죽을 줄 알아! 알았어?
순재,너 어디가 이 자식아!!?
준하,화장실요.
순재,화장실도 상의하고가!! 똥 누는 것도 상의해!
준하,똥 누는 것두요?
순재,그래. 똥 누는 것도 상의해!
준하,하.. 아버지 저 똥 눠도 돼요?
순재,눠!!
순재,도대체가 말이야..
민용,엄마...
순재,넌 또 왜 왔어? 너도 집에 올 때 나한테 상의하고 와!
민용, 예?
문희,안 그래도 니네 집에 갔다오는길인데 아무도 없더라? 준이에미는?
민용,엄마... 나 좀 할말 있는데...  일루와봐..
문희,뭔데?
순재,뭔데?! 이 자식아!! 뭐든 나한테 먼저 상의하라고!
민용,엄마 잠깐만.. 
문희,왜...?
민용,아 저.. 
순재,이 자식이 진짜! 나랑 상의하란 말 못들었어!!? 
문희,뭐? 이혼?
순재, 뭐? 이혼?
문희, 이혼이라니? 아니 이게 무슨 소리냐? 어?
해미,서방님 정말이예요? 아니 왜요?
민용,아 저.. 그게..
순재, 이 자식이 진짜..!!!! 
민용,아버지 저..! 
윤호,거기 안 서? 죽는다 진짜!!
순재,이 자식들이!! 하다하다 이제 상의도 없이 이혼까지 해?! 거기 안 서!!
민호, 할아버지! 할아버지 살려주세요!
순재,거기 안서!! 이 자식!!
준, 삶은 고해다... 하지만 우린 언제나..
준, 거침없이 하이킥!!
민용,오후에 어디 나간다더니 안나갔어? 잘됐다 배고파 밥 주~  마누라 배고파 빨리 밥 줘~
신지,나.. 가고 싶어..
민용, 나가서 먹자구? 야야 귀찮아 집에서 때워~
신지,저기 가고 싶다고..
민용,뭐? 저기가 뭐야..  저기가 어디야? 여행 가자고?
신지,나 유학가고 싶어 저기..작곡 공부..
민용,뭐?  얘가 갑자기 무슨.. 돌았냐? 너 또 갑자기 무슨 자다 봉창이냐?
민용, 눈물이야? 너 우는거야?
신지, 나 모스크바 가서 공부하고 싶어! 매일 그지같이 요모양 요꼴로 살기 싫어!
민용, 하.. 너 왜 이래?
찬성, 야 씨 너 왜 이래? 왜 이러는데?
찬성,이러지 마라. 앞으로 내가 잘할께.
여학생,됐어.
찬성,이러지마 좀! 사랑이 어떻게 변하니?
여학생,변하니까 사랑이지 안변하면 스뎅이게? 그만하자 나 갈게.
찬성,아 씨 안돼! 못가! 가려면 나 밟고 가! 
민용, 이마에 피도 안 마른 것들이..쇼를 해요 아주..
민정, 뭐하세요 혼자 여기서?
민용,예? 그냥 뭐..
민정,그냥요? 근데 참 이선생님 저 어디서 본적 없으세요?
민용,어디서요?
민정,처음 교무실에서 뵜을때부터 되게 낯이 익은데..
민용,전 되게 낯선데요?
민정, 이선생님 분명히 어디서 봤.. 
민용, 야! 니들 조심안할래!!?  괜찮으세요?
민정, 괜찮아요. 가세요.
민용,정말 괜찮아요?
민정, 코피가 좀 나는거 같애요. 그냥 가세요.
민용,코피나면 치룔해야죠. 어디봐요.
민정, 괜찮아요. 그냥 가세요. 챙피해서 그래요.
민용, 코피 안 나는데요?
민정,예?  아니네.
민용,코피가 아니라 콧물이 나신거 같은데요?
민정, 그러네요. 아 쪽팔려..  저 먼저 갈께요. 
민정, 어머 신지야 오랜만이다~
문희, 에구 에구.. 우리 준이 어떡하나.. 불쌍한 우리 준이 에구 에구..  얘 준이 에미하고 통화 좀 됐니?
해미, 핸드폰이 계속 꺼져있어요. 완전히 출국했나봐요.
문희,에구 에구 그럼 어떡하니 진짜.. 애는 이렇게 싸질러놓고..
해미,이렇게 될 줄 알았겠어요?  안녕~  어머님 저 워크샵땜에 지방 좀 다녀올께요.
문희,지방? 어디?
문희,...어디가는데..?
해미, 어머님 페트병 이거 여러번 쓰시면 안돼요.
문희,어?
해미,이거 원래 1회용으로 만든거라 여러번 쓰면 세균 번식 한다고 몇번이나 말씀 드렸는데..
문희,아유 됐다 얘. 그런 거 다 따지면 어떻게 사니.. 그렇다고 아깝게 버리..
해미, 다른 걸로 쓰시면 돼죠. 음식 넣어서 쓰지말라는 거에요. 아셨죠 어머님~ 저 다녀올께요. 
문희, 아셨죠 어머님?.. 몰랐다 어쩔래 이년아~ (해미가 있는 듯 머리를 잡아 발로 뻥 차는 시늉하곤
윤호,헤이~
윤호, 내놔.
민호, 나 지금 돈 없는데! 진짜예요. 아 이거 드릴까요?  이거 나이카거든요. 그저께 산거라 완전 새건데.
윤호,야~ 가관이다. 
민호,야 씨 놀랬잖아! 
윤호,어때 폼 나지?
민호,너 오토바이가 또 어디서 났어?
윤호,성민이 형한테 일주일 빌렸지. 형 여행갔거든.
민호,미쳤구나 엄마 알면 죽을라구...!
윤호,당근 비밀이지. 뒤쪽에 세워놓으면 내껀지 모를껄.
민호,내가 이를껀데?
윤호,일러?  일러봐 한번.
민호,팰꺼냐?
윤호,심하게. 나 알지?
민호,알지.
윤호,그럼 하지마.
민호,알았어.
윤호,먼저 들어가라 나 한바퀴 돌고 간다. 
민호,아호 저거 왜 저렇게 까불지 언제 한번 정말... (윤호 쪽으로 다리를 옆차기 식으로 한번 뻗어보다가
민용,으아아~  하..형수님 놀랬..
해미, 애기 보러 왔구나~ 아버님 병원에 계시니까 올라가 보세요.
민용,근데 형수님은 어디 가..
해미, 워크샵가요 제주도. 갔다와서 봐요. 
민용,그럼 지금 공항..
해미, 택시 택시!
민용,형수님 그럼 갔..
해미, 나중에 봐요 서방님. 
민용,다녀오..
민용,말을 끝까지 듣는 법이 없어요.. 
문희,우리집 싹퉁바가지? 어디 워크샵인가 갔어. 어딘지 몰라. 아니 어딜 가는지 묻는데 대답을 안해요. 몰라 어딜 가는지도~
민용,엄마.
문희,어마나 너 이시간에 왠일이냐? 막내 왔다 끊어. 
민용,웬일은. 수업 끝난지가 언젠데. 준이야 아빠 왔다~ 
문희,걔 진짜 러시아 가버린거냐? 진짜루 간거야?
민용, 갔다니까 글쎄~ 몇번을 말해~
문희,세상에 걔가 사람이냐? 지 자식을 팽개치고.. 어떻게.
민용, 아 됐어!! 그만 좀 해!! 먹을거나 좀 줘. 배고파.
문희, 이게 누구한테 신경질은.. 그래 나도 몰라.  새우 구워 논거 있는데 새우 먹을래?
민용,묻지말고 그냥 줘. 새우면 당연히 먹지~
문희,밥도 먹을래?
민용,줘~ 주면 먹지~
문희,몇신데 아직 밥도 안 먹었어? 
민용, 근데 아버지 또 오시는거 아냐? 어째 불안해.
문희, 이 시간에 니 아버지가 올리가...
순재, 여보.
순재,어 너?!!!
순재,이 자식 여기가 어디라고 기어들어와!  너 호적에서 파버린단 소리 못 들었어?!!
순재,어이쿠! 야 임마 너 거기 안 서? 야!!
순재,야 임마 거기 서! 야 임마! 
문희,민용아 민용아~
문희,민용아~
민용, 아 왜!!
문희,민용아 새우 가져가~
민용,안 먹어 씨! 새우 챙겨줄 정신있으면 아버지한테 얘기나 좀 잘해! 나만보면 저러고.. 나도 열받아 죽겠는데 씨..
문희,알았어 새우나 가져가~
민용,일없어! 안 먹어!! 
문희,먹어~ 내가 던질게 받아~ 
민용,아! 뭐야? 
문희, 먹어~ 가서 먹어~ 부침개도 던질께 받아~ 
민용,아 됐어! 안 먹어!! 
문희,민용아! 이거 가져가서 먹어! 던진다!! 
순재,당신 말이야! 내가 집에 들이지도 말라 그랬어 안 그랬어 당신 때문에..  왜 그래?
문희, 아야 아야 아야 나 팔 빠졌나봐~ 
범,헤이 요~
민호,야 너 수업끝나고 어디로 날랐어? 
범,스타크결승전~ 김영기선수를 삼빡하게 제압해줬지~
민호,진짜? 오~  오늘 우리집에서 자고가게?
범,어. 우리집에 친척둘이 놀러왔어~ 지겨워~
민호,한바퀴 돈다더니?
윤호, 돌았어. 여기 딱 숨겨놓고.. 오늘밤에 본격적인 레이스를 펼치기로 했지.
민호,밤에 레이스? 엄마아빠 알면 디지게 맞을짓인데?
윤호,그래서 이르겠다고?
윤호,지난번에 나한테 그렇게 죽터지고도 아직 정신을 못차 렸냐?
윤호,정신은 차렸는데 왜 일르고 싶어?
범,아! 씨.. 
윤호,일르고 나면 얼굴이 정돈이 안될텐데?
민호,그러냐?
윤호,그래.
민호,그럼 할수없지.
민용,뭐? 엄마 어깨가 탈골돼?
준하, 어. 그래서 꼼짝도 못하신다.
민용,하. 무리하게 던진다 했어. 그럼 준이는 누가 봐? 형수님도 안 계시잖아.
준하, 우리가 보면 돼. 걱정하지마라. 어 애기 운다. 끊어. 
민용,형이 무슨 애를 본다고..  하 씨.. 불안 하네..
민용,여보세요?
신지, 오빠 나야.
민용, 누구세요?
신지,나라니까?
민용,글쎄 나가 누구시냐구요?
신지, 나라구 신지~
민용,아.. 마이 엑스와이프? 전화번호를 지워버려서 누군가 했지. 왠일이야?
신지,정말 유치하다 오빠.
민용, 그러게 유치한 놈한테 왜 전화하냐 도장 찍었으면 그만이지~
신지, 오빠 궁금해서 전화한 거 아냐. 준이 궁금해서 전화했지.
민용,준이가 궁금하면 준이한테 전화해. 왜 나한테 하냐?
신지, 아우 짜증나게 정말 이럴래?
민용, 나 원래 짜증나는 놈인 줄 모르고 전화했냐. 너 바보냐?
신지, 그래 바보다 끊어!
민용,그래 제발 끊자!  누가 전화해달랬나. 왜 지가 해서는 시비야.. 
신지, 왜.
민용, 준이 잘 있어. 걱정마.
신지,.....
민용,그럼 끊는다.
신지,나 내일 떠나.
민용, 그렇게 빨리...?
신지,그래서 말인데..  나 가기 전에 준이 얼굴 한 번 보고 싶어..
민용, 뭐? 야 안돼 무슨 씨도 안 먹히는 소릴 하고 있어 얘가!
신지, 그게 왜 씨도 안 먹히는 소리야?!
민용,야 너 서울 있는 거 알면 아버지가 가만 안둘까봐 벌써 떠났다 그랬단 말야. 준이 데리고 공항 갈 수도 없어!
신지,그럼 내가 밤에 집으로 갈테니까 오빠가 잠깐 데리고 나오면 되잖아!
민용,얘가 진짜 상황파악 못하네. 너 걸렸다간 진짜루 진짜루 국물도 없어. 꿈도 꾸지마 알았어?
신지,그러니까 오빠가 좀 도와달란 말이야~
민용,내가 널 왜 도와줘? 니가 뭔데! 니가 뭐냐?
신지,도와주지마 됐어 치사한 놈아!  어어어어엉...
민용,여보세요? 여보세요?  너 우냐?
신지, 가기 전에 준이 얼굴한번 보여달라는데 그것도 안해주냐 나쁜놈아!
민용,야...야 울지마 야...  야 야 뚝..?
순재,준이야 뚝! 오로로로로까꿍 오로로로로로.
준하,아 아버지 애가 무서워서 더 울잖아요~
순재,내가 왜 무서워? 오로로로로까꿍~~
민호,더 운다..
준하,아버지가 무서워서 더 운다니까요~
순재,오로로로~  에이씨..
문희,아니 왜 이렇게 애를 울려요~ 무슨 일이야~
순재, 이봐 우유도 많이 먹고 열도 안 나고 우리가 계속 놀아주는데 왜 우는거야 대체?
문희,똥 싼거 아니야?
순재,똥?  아 똥~  야 똥이다. 똥 기저귀 확인해봐~
문희,쯧쯧...
윤호,여기 기저귀요~ 
순재,똥기저귀부터 먼저 치워야지 빼.
민호,이렇게요? 
민호,이렇게요? 
준하, 이렇게 하면 편하게..
민호,똥 엄청 많이 쌌다~~
윤호,어..!! 쏟아진다!!
남자들,으아아~/똥~~
준하,아 씨 손에 다 묻었어~ 
순재,야 어디다 털어! 
민호,애 똥독 오를 거 같아요. 목욕시켜야 되는거 아녜요?
순재,그래 목욕 목욕! 화장실로 이동해!
준하,야 한손씩 붙잡아 조심 조심..
남자들, 조심조심..
준하,어 파편 떨어진다. 민호 밑에서 받쳐!
민호,으 드러.. 
순재, 조심 조심 바닥 미끄럽다!
준하,야 야 니가 이쪽으로 와~
윤호,이쪽요? 
순재,조심해 좀!  자 담궈 살살 아주 살살...
준하,야 물이 뜨겁다~
순재, 온도 잘 맞추랬잖아?!!  야 머리 잠겼잖아 꺼내 꺼내!
남자들,어어어어~
순재,소파로 소파로..
윤호,어어~ 
남자들, 어어어어!!
남자들,하... 
순재,이 자식이 왜 자빠지고 난리야! 
준하,수건요 수건~
